step,loss,contrastive_loss,diversity_loss,codebook_perplexity,grad_norm,lr,gumbel_temp,audio_sec_per_wall_sec
500,17534.113145,3.875403,0.911101,55.67,0.2370,0.00002495,0.997508,70.1
1000,15450.801533,3.403924,0.906589,61.82,0.1428,0.00004995,0.995017,73.0
1500,14677.488061,3.233985,0.900200,67.60,0.1338,0.00005000,0.992533,73.2
2000,14311.259699,3.152933,0.894994,67.11,0.1330,0.00005000,0.990055,73.0
2500,14050.800322,3.094930,0.890877,68.83,0.1318,0.00005000,0.987583,73.3
3000,13886.824497,3.054015,0.887190,77.57,0.1311,0.00005000,0.985117,73.3
3500,13757.637626,3.026760,0.883817,79.90,0.1324,0.00005000,0.982657,75.3
4000,13622.417510,2.997770,0.880670,87.61,0.1317,0.00005000,0.980204,75.5
4500,13518.104803,2.974208,0.878143,69.46,0.1291,0.00005000,0.977756,75.5
5000,13470.453815,2.958142,0.875341,82.79,0.1295,0.00005000,0.975315,75.3
5500,13372.830848,2.940455,0.872615,90.90,0.1308,0.00005000,0.972879,75.3
6000,13328.037151,2.927696,0.870103,82.83,0.1290,0.00005000,0.970450,75.3
6500,13203.035731,2.903948,0.867697,53.53,0.1307,0.00003680,0.968027,75.1
7000,13113.329609,2.882825,0.865704,77.81,0.1303,0.00002708,0.965610,75.4
7500,13038.477892,2.867840,0.864232,71.60,0.1324,0.00001992,0.963199,75.5
8000,12985.421880,2.857185,0.862937,81.45,0.1321,0.00001465,0.960794,75.3
8500,12984.188273,2.851741,0.862062,95.83,0.1318,0.00001078,0.958395,75.5
9000,12908.076684,2.840942,0.861488,90.19,0.1331,0.00000793,0.956002,75.5
9500,12937.325277,2.840033,0.860889,87.92,0.1321,0.00000583,0.953615,75.4
10000,12901.121999,2.837114,0.860426,81.35,0.1348,0.00000429,0.951234,75.5
10500,12917.666694,2.836594,0.860201,97.05,0.1353,0.00000316,0.948859,75.5
11000,12911.925913,2.832136,0.859880,95.71,0.1377,0.00000232,0.946490,75.4
11500,12876.647940,2.829785,0.859921,94.11,0.1347,0.00000171,0.944126,75.5
12000,12896.365271,2.834064,0.859806,90.25,0.1347,0.00000126,0.941769,75.4
12500,12880.936196,2.829127,0.859676,101.79,0.1350,0.00000092,0.939418,75.3
13000,12859.785326,2.830043,0.859763,91.04,0.1366,0.00000068,0.937072,75.5
13500,12855.030783,2.825789,0.859462,73.15,0.1354,0.00000050,0.934732,75.5
